Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
8532,G,Henrik,Lundqvist,6.3,18,11000,NYR@BOS,NYR,BOS,,
8718,LW,Alexander,Ovechkin,5.4,20,10200,TB@WAS,WAS,TB,,
9416,G,Braden,Holtby,5.2,17,10000,TB@WAS,WAS,TB,,
8302,LW,Rick,Nash,3.7,20,9500,NYR@BOS,NYR,BOS,,
40050,G,Antti,Raanta,6.1,5,9300,NYR@BOS,NYR,BOS,,
8655,C,Steven,Stamkos,3.2,23,9300,TB@WAS,TB,WAS,,
8273,G,Corey,Crawford,4.6,17,9000,CHI@ANH,CHI,ANH,,
9302,G,Michal,Neuvirth,5.7,10,8700,NSH@PHI,PHI,NSH,,
8472,G,Pekka,Rinne,4.3,18,8700,NSH@PHI,NSH,PHI,,
8478,LW,Zach,Parise,3.7,12,8700,WPG@MIN,MIN,WPG,IR,Knee
8142,RW,Corey,Perry,2.9,23,8600,CHI@ANH,ANH,CHI,,
42709,G,Scott,Darling,3.5,6,8500,CHI@ANH,CHI,ANH,,
8262,RW,Patrick,Kane,6.1,22,8400,CHI@ANH,CHI,ANH,,
8254,C,Jonathan,Toews,3.3,22,8400,CHI@ANH,CHI,ANH,,
8920,G,Devan,Dubnyk,4.6,19,8400,WPG@MIN,MIN,WPG,,
8883,G,Ben,Bishop,4.8,18,8400,TB@WAS,TB,WAS,,
8134,C,Ryan,Getzlaf,2.9,19,8300,CHI@ANH,ANH,CHI,,
23072,G,Frederik,Andersen,3.5,16,8300,CHI@ANH,ANH,CHI,DTD,Illness
12697,G,Philipp,Grubauer,3.7,4,8100,TB@WAS,WAS,TB,,
11133,G,Carter,Hutton,5.1,3,8100,NSH@PHI,NSH,PHI,,
54565,G,Andrei,Vasilevskii,4.7,4,8100,TB@WAS,TB,WAS,,
8312,G,Steve,Mason,3.2,14,8000,NSH@PHI,PHI,NSH,,
8193,G,Tuukka,Rask,4,15,8000,NYR@BOS,BOS,NYR,,
15268,G,John,Gibson,4.4,2,8000,CHI@ANH,ANH,CHI,,
8432,G,Niklas,Backstrom,0,0,8000,WPG@MIN,MIN,WPG,,
8556,C,Claude,Giroux,3.1,22,7900,NSH@PHI,PHI,NSH,,
8763,LW,Brad,Marchand,4.5,19,7800,NYR@BOS,BOS,NYR,,
8693,G,Jonas,Gustavsson,5.3,6,7700,NYR@BOS,BOS,NYR,,
8264,D,Dustin,Byfuglien,3.3,23,7600,WPG@MIN,WPG,MIN,,
8776,G,Ondrej,Pavelec,3.4,15,7600,WPG@MIN,WPG,MIN,IR,Lower body
8893,G,Anton,Khudobin,3.3,8,7600,CHI@ANH,ANH,CHI,,
8303,RW,Jakub,Voracek,2.2,22,7500,NSH@PHI,PHI,NSH,,
8294,C,Derick,Brassard,2.9,22,7300,NYR@BOS,NYR,BOS,,
8175,C,Patrice,Bergeron,4.1,21,7300,NYR@BOS,BOS,NYR,,
12448,C,Derek,Stepan,2.6,22,7300,NYR@BOS,NYR,BOS,,
13612,C,Tyler,Johnson,2.7,20,7200,TB@WAS,TB,WAS,,
14466,G,Darcy,Kuemper,1.9,2,7200,WPG@MIN,MIN,WPG,,
8182,RW,Blake,Wheeler,3.6,23,7100,WPG@MIN,WPG,MIN,,
11294,G,Michael,Hutchinson,3.4,12,7100,WPG@MIN,WPG,MIN,,
8259,LW,Andrew,Ladd,2.7,23,7000,WPG@MIN,WPG,MIN,,
39253,LW,Filip,Forsberg,2.5,21,7000,NSH@PHI,NSH,PHI,,
8162,C,Bryan,Little,3.1,23,6900,WPG@MIN,WPG,MIN,,
43219,G,Kristers,Gudlevskis,5.2,1,6600,TB@WAS,TB,WAS,,
12411,D,Ryan,McDonagh,2.5,22,6600,NYR@BOS,NYR,BOS,,
8263,RW,Marian,Hossa,2.3,19,6500,CHI@ANH,CHI,ANH,,
14126,G,Allan,York,0,0,6500,TB@WAS,TB,WAS,,
8198,LW,Thomas,Vanek,3.4,20,6500,WPG@MIN,MIN,WPG,,
8202,RW,Jason,Pominville,2.1,20,6500,WPG@MIN,MIN,WPG,,
43214,RW,Nikita,Kucherov,2.8,23,6500,TB@WAS,TB,WAS,,
12262,D,Roman,Josi,2.7,21,6500,NSH@PHI,NSH,PHI,,
8702,C,Ryan,Kesler,1.6,23,6500,CHI@ANH,ANH,CHI,,
8319,RW,James,Neal,3.8,21,6400,NSH@PHI,NSH,PHI,,
8669,D,Victor,Hedman,2.2,22,6400,TB@WAS,TB,WAS,,
15315,LW,Ondrej,Palat,1.8,16,6300,TB@WAS,TB,WAS,IR,Lower body
8467,D,Shea,Weber,2.2,21,6300,NSH@PHI,NSH,PHI,,
8266,D,Duncan,Keith,2.3,12,6200,CHI@ANH,CHI,ANH,,
8714,C,Nicklas,Backstrom,3.8,18,6200,TB@WAS,WAS,TB,,
8404,RW,Wayne,Simmonds,1.9,22,6200,NSH@PHI,PHI,NSH,,
9015,D,John,Carlson,2.9,21,6100,TB@WAS,WAS,TB,,
8176,C,David,Krejci,4,21,6000,NYR@BOS,BOS,NYR,,
8186,D,Zdeno,Chara,2.6,19,6000,NYR@BOS,BOS,NYR,,
9079,D,Keith,Yandle,2.2,22,6000,NYR@BOS,NYR,BOS,,
8635,RW,T.J.,Oshie,2.8,21,6000,TB@WAS,WAS,TB,,
21523,LW,Alex,Killorn,1.9,22,6000,TB@WAS,TB,WAS,,
15321,C,Mark,Scheifele,2.7,23,5900,WPG@MIN,WPG,MIN,,
14474,D,Sami,Vatanen,2.3,23,5900,CHI@ANH,ANH,CHI,,
21648,D,Torey,Krug,2.7,21,5900,NYR@BOS,BOS,NYR,,
52475,C,Evgeny,Kuznetsov,4.3,21,5900,TB@WAS,WAS,TB,,
21927,LW,Chris,Kreider,2.6,22,5800,NYR@BOS,NYR,BOS,,
9305,LW,Mathieu,Perreault,2,23,5700,WPG@MIN,WPG,MIN,,
9058,LW,Matt,Beleskey,2,19,5700,NYR@BOS,BOS,NYR,,
8464,LW,Colin,Wilson,1.7,21,5700,NSH@PHI,NSH,PHI,,
15269,LW,Rickard,Rakell,2.1,20,5600,CHI@ANH,ANH,CHI,,
8414,C,Mikko,Koivu,3.4,20,5600,WPG@MIN,MIN,WPG,,
8535,C,Mike,Fisher,1.4,21,5600,NSH@PHI,NSH,PHI,,
12253,RW,Mats,Zuccarello Aasen,3.7,22,5600,NYR@BOS,NYR,BOS,,
8267,D,Brent,Seabrook,2.9,22,5500,CHI@ANH,CHI,ANH,,
8336,C,Valtteri,Filppula,1,23,5500,TB@WAS,TB,WAS,,
14473,RW,Jakob,Silfverberg,1.1,23,5500,CHI@ANH,ANH,CHI,,
9266,RW,Brayden,Schenn,2,20,5400,NSH@PHI,PHI,NSH,,
8314,C,Mike,Ribeiro,2,21,5400,NSH@PHI,NSH,PHI,,
8203,RW,Drew,Stafford,1.9,23,5400,WPG@MIN,WPG,MIN,,
15239,RW,Craig,Smith,2.2,21,5400,NSH@PHI,NSH,PHI,,
9354,LW,Patrick,Maroon,0.8,22,5400,CHI@ANH,ANH,CHI,,
41394,D,Seth,Jones,1.9,21,5400,NSH@PHI,NSH,PHI,,
8322,RW,Loui,Eriksson,3.4,21,5300,NYR@BOS,BOS,NYR,,
8520,RW,Ryan,Callahan,1.4,22,5300,TB@WAS,TB,WAS,,
21686,LW,Jason,Zucker,3.4,20,5300,WPG@MIN,MIN,WPG,,
12667,LW,Ryan,Spooner,2.1,21,5100,NYR@BOS,BOS,NYR,,
23041,C,Mikael,Granlund,2.1,20,5100,WPG@MIN,MIN,WPG,,
15357,LW,Carl,Hagelin,1,23,5000,CHI@ANH,ANH,CHI,,
8516,C,Artem,Anisimov,2.7,22,5000,CHI@ANH,CHI,ANH,,
15313,LW,Vladislav,Namestnikov,1.7,23,4900,TB@WAS,TB,WAS,,
8403,RW,Justin,Williams,3.3,21,4900,TB@WAS,WAS,TB,,
8328,D,Matt,Niskanen,2,21,4900,TB@WAS,WAS,TB,,
59218,RW,David,Pastrnak,1.9,10,4900,NYR@BOS,BOS,NYR,IR,Foot
9083,D,Ryan,Ellis,2.4,20,4900,NSH@PHI,NSH,PHI,,
8906,G,Leland,Irving,0,0,4800,WPG@MIN,MIN,WPG,,
8327,D,Trevor,Daley,1.1,22,4800,CHI@ANH,CHI,ANH,,
8506,D,Mark,Streit,2.1,16,4800,NSH@PHI,PHI,NSH,IR,Groin
43178,RW,Teuvo,Teravainen,2.3,18,4800,CHI@ANH,CHI,ANH,DTD,Upper body
15360,LW,J.T.,Miller,1.9,22,4800,NYR@BOS,NYR,BOS,,
8356,RW,Sam,Gagner,1.6,18,4700,NSH@PHI,PHI,NSH,O,Upper body
12460,D,Cam,Fowler,1.3,23,4700,CHI@ANH,ANH,CHI,,
8270,D,Niklas,Hjalmarsson,1,22,4600,CHI@ANH,CHI,ANH,,
8211,D,Tyler,Myers,1.5,23,4600,WPG@MIN,WPG,MIN,,
40039,LW,Michael,Raffl,1,22,4600,NSH@PHI,PHI,NSH,,
42417,LW,Jonathan,Drouin,1.5,14,4600,TB@WAS,TB,WAS,IR,Undisclosed
62493,LW,Artemi,Panarin,3.7,22,4600,CHI@ANH,CHI,ANH,,
8918,D,Anton,Stralman,1.6,23,4600,TB@WAS,TB,WAS,,
12728,RW,Nino,Niederreiter,2,20,4600,WPG@MIN,MIN,WPG,,
14456,D,Mattias,Ekholm,1.8,21,4600,NSH@PHI,NSH,PHI,,
8357,RW,Andrew,Cogliano,1.1,23,4500,CHI@ANH,ANH,CHI,,
12220,LW,Marcus,Johansson,2.3,21,4500,TB@WAS,WAS,TB,,
12449,RW,Brett,Connolly,1.7,20,4500,NYR@BOS,BOS,NYR,,
58990,RW,Kevin,Hayes,2.7,22,4500,NYR@BOS,NYR,BOS,,
15308,C,Sean,Couturier,0.9,16,4400,NSH@PHI,PHI,NSH,,
15281,LW,Andrew,Shaw,1.6,22,4400,CHI@ANH,CHI,ANH,,
8354,C,Shawn,Horcoff,1.4,22,4400,CHI@ANH,ANH,CHI,,
8526,D,Daniel,Girardi,1.8,22,4400,NYR@BOS,NYR,BOS,,
8626,D,Dan,Boyle,1.3,18,4400,NYR@BOS,NYR,BOS,,
9218,C,Mike,Santorelli,0.6,21,4300,CHI@ANH,ANH,CHI,,
8711,D,Kevin,Bieksa,0.7,23,4300,CHI@ANH,ANH,CHI,,
8517,C,Brian,Boyle,1.4,20,4300,TB@WAS,TB,WAS,,
8466,D,Ryan,Suter,3.5,20,4300,WPG@MIN,MIN,WPG,,
8469,D,Kevin,Klein,1.7,22,4300,NYR@BOS,NYR,BOS,,
39245,D,Jacob,Trouba,1,23,4300,WPG@MIN,WPG,MIN,,
8284,RW,Chris,Stewart,1.4,22,4200,CHI@ANH,ANH,CHI,,
8300,LW,Jason,Chimera,2,21,4200,TB@WAS,WAS,TB,,
8719,LW,Brooks,Laich,0.8,21,4200,TB@WAS,WAS,TB,,
39464,D,Hampus,Lindholm,1.3,22,4200,CHI@ANH,ANH,CHI,,
8528,D,Marc,Staal,1.7,22,4100,NYR@BOS,NYR,BOS,,
8654,RW,Vincent,Lecavalier,0.6,7,4100,NSH@PHI,PHI,NSH,,
15381,RW,Ryan,Garbutt,1.4,19,4100,CHI@ANH,CHI,ANH,,
12646,C,Alex,Burmistrov,0.9,23,4000,WPG@MIN,WPG,MIN,,
14149,RW,Jimmy,Hayes,2.1,21,4000,NYR@BOS,BOS,NYR,,
42833,RW,Andre,Burakovsky,1.1,19,4000,TB@WAS,WAS,TB,,
23061,C,Calle,Jarnkrok,1.4,20,4000,NSH@PHI,NSH,PHI,,
13472,D,Dmitry,Orlov,1.8,21,4000,TB@WAS,WAS,TB,,
14451,C,Oscar,Lindberg,2.8,22,4000,NYR@BOS,NYR,BOS,,
23225,D,Mathew,Dumba,1.3,20,4000,WPG@MIN,MIN,WPG,,
58907,RW,Nikolaj,Ehlers,2.3,23,4000,WPG@MIN,WPG,MIN,,
39269,C,Erik,Haula,1.1,19,4000,WPG@MIN,MIN,WPG,,
9290,LW,Bryan,Bickell,-0.1,7,3900,CHI@ANH,CHI,ANH,,
23053,RW,Jesper,Fast,1.2,20,3900,NYR@BOS,NYR,BOS,,
13932,LW,Matt,Read,0.9,22,3900,NSH@PHI,PHI,NSH,,
53527,LW,Marko,Dano,1,10,3900,CHI@ANH,CHI,ANH,,
8531,D,Michael,Del Zotto,0.6,22,3800,NSH@PHI,PHI,NSH,,
54126,D,Trevor,Van Riemsdyk,0.9,22,3800,CHI@ANH,CHI,ANH,,
8731,D,Karl,Alzner,1.6,21,3700,TB@WAS,WAS,TB,,
8877,D,Jason,Garrison,1.2,23,3700,TB@WAS,TB,WAS,,
12812,D,Jared,Spurgeon,1.9,20,3700,WPG@MIN,MIN,WPG,,
8168,D,Tobias,Enstrom,1.6,23,3600,WPG@MIN,WPG,MIN,,
8742,RW,Viktor,Stalberg,1.7,20,3600,NYR@BOS,NYR,BOS,,
